account_id,balance,original_balance,open_date,due_date,account_type,status
agency,47640,35621,call,bring,wait,however
approach,15073,12299,suffer,security,loss,ever
late,97174,48774,weight,owner,better,room
along,60306,53876,seven,organization,nice,stock
foot,9876,21325,father,space,necessary,hour
list,38519,4684,successful,from,color,color
computer,31200,18129,top,hard,will,individual
when,25772,19885,long,admit,stock,increase
large,49530,56478,around,year,once,something
maintain,76097,38530,take,industry,church,meeting
Mrs,1247,87173,study,economic,movie,home
range,43972,79415,rate,beautiful,almost,TV
less,6003,37089,together,drug,ago,expect
build,91532,68826,someone,herself,many,security
nation,59531,90231,effect,school,accept,senior
policy,67242,19845,stock,film,bill,perhaps
federal,89372,18706,discover,sense,by,magazine
thing,66327,95970,treatment,white,everybody,I
finally,80202,62045,perform,become,page,scene
artist,31554,5920,history,feel,bar,six
public,20178,41919,five,policy,process,reduce
ask,18663,80548,election,record,blue,whose
direction,22687,87549,have,only,stage,fact
discussion,389,16222,debate,material,modern,early
fire,1135,21164,push,thousand,firm,popular
major,80269,66250,general,plan,common,cell
to,70432,11193,hot,nice,especially,increase
professional,22337,51536,message,sell,bed,clearly
some,41426,90434,amount,anyone,another,benefit
south,2433,575,early,mind,civil,mean
approach,12892,79760,hope,body,add,image
card,75610,22421,natural,high,main,attention
politics,88893,55408,leave,magazine,peace,meet
agency,53476,20905,body,appear,mother,piece
former,44691,81586,determine,doctor,view,lot
land,27493,89615,TV,particularly,wear,nor
behind,66651,37231,experience,prepare,could,your
agree,85482,62284,according,gas,why,nature
professor,29916,72303,result,sure,hair,benefit
see,98800,21133,social,want,ability,will
simply,85265,28550,as,culture,deal,per
off,7505,45847,foot,finally,already,reach
hit,18795,16421,determine,country,lawyer,trip
my,61133,39154,purpose,note,risk,boy
shoulder,86582,50382,group,rich,nation,have
education,48756,69263,exactly,drop,eat,question
former,19208,5458,plant,million,rather,month
war,15417,79410,identify,read,collection,hair
more,28429,60899,among,open,available,relationship
watch,37369,41513,bad,authority,large,say
cause,14066,25757,everything,fall,main,maintain
hand,44430,60726,water,wrong,leg,us
often,84119,52010,enough,public,move,price
hand,90049,94346,produce,remember,nature,executive
section,1491,52399,civil,American,do,long
whole,57508,41084,decade,conference,everybody,person
long,36306,8010,democratic,wall,discover,visit
analysis,32048,49508,health,election,end,benefit
since,43813,92156,nothing,hotel,during,process
and,50612,70364,for,follow,shake,short
star,15170,42919,these,world,ground,drive
pass,78081,17336,case,these,business,full
space,79752,48222,recently,item,imagine,guy
whether,27986,46329,economy,nice,travel,hand
offer,13763,93663,social,free,land,the
different,29419,35236,through,man,media,responsibility
ability,80363,31591,guy,line,per,glass
table,25512,88108,nothing,idea,himself,continue
right,63540,41977,difficult,executive,official,action
also,87216,23928,bar,start,color,it
street,49308,57185,class,speech,political,know
television,7224,9331,could,produce,because,wait
decide,34903,95008,reality,drop,marriage,beyond
buy,30812,14827,military,off,nature,yard
assume,99746,66871,guess,field,worker,miss
how,86716,47582,rule,chair,part,statement
say,96242,40712,last,doctor,upon,imagine
or,39621,25819,explain,keep,play,phone
budget,36261,51299,how,yet,wear,deal
onto,49345,41495,budget,anyone,born,among
live,31865,60807,line,good,talk,entire
other,58471,97730,hear,natural,tell,game
street,66605,86728,house,create,around,new
matter,11772,81203,visit,them,throw,whole
drive,93294,15984,push,not,table,relate
again,81775,50221,clear,strong,arrive,subject
system,29171,72363,artist,those,begin,film
account,58983,52607,decide,skill,ahead,outside
let,57135,96879,rather,democratic,new,trip
cut,73015,60301,fast,also,herself,respond
fill,33925,12628,arrive,audience,plan,candidate
over,12687,68393,subject,officer,indicate,throw
no,40613,25338,discussion,owner,ball,if
against,95621,46402,else,always,eye,treat
just,28120,7378,organization,others,feeling,see
happen,82832,31300,hand,rich,let,reflect
start,95337,50085,arrive,evidence,me,skin
star,66310,72812,top,less,tend,finish
fish,26493,58149,general,people,without,here
certainly,12392,90866,hotel,involve,join,worry
beat,79413,55272,feel,yeah,boy,father
executive,18803,70297,sign,summer,effect,plan
expert,16553,13397,level,then,turn,take
floor,73423,82797,baby,impact,field,next
government,32167,93739,cell,box,leave,attention
guess,29143,41802,use,garden,material,cause
buy,16620,63763,notice,social,continue,draw
believe,98920,68136,discover,positive,third,almost
according,79359,66749,green,nor,style,cup
movement,70793,52976,main,wonder,wall,main
suggest,73296,42024,it,best,same,trial
help,40526,38360,life,consider,share,environmental
democratic,32669,28011,population,old,rise,early
group,88816,71811,suddenly,mouth,admit,industry
use,10904,16200,at,tell,on,bar
leave,1242,24925,attack,share,travel,sister
hold,20613,43325,direction,avoid,season,into
instead,7972,6706,mind,leave,leave,television
would,67617,82383,mean,glass,guy,hair
and,22233,83633,dream,fall,often,significant
management,28678,76952,maintain,human,month,often
much,77488,80492,notice,song,yourself,perhaps
generation,76615,7085,himself,close,factor,next
degree,62416,74918,else,level,sport,candidate
daughter,36596,13998,yourself,many,poor,modern
participant,26413,4224,expect,commercial,set,yourself
relationship,22067,49280,share,foot,son,throughout
seven,67334,64548,price,off,thus,course
economy,6496,65747,avoid,professional,letter,eight
him,29391,70765,medical,western,couple,choose
themselves,27777,13727,give,old,leader,understand
speak,9932,30671,against,president,economy,soldier
some,64936,66051,first,if,land,not
window,55521,88776,during,example,movement,front
center,78811,41327,guess,difficult,protect,put
cold,82704,97696,where,anything,art,court
light,93903,72921,lose,research,either,health
career,72196,4606,thank,start,one,yet
town,36066,25785,collection,draw,coach,lot
expect,46101,97515,see,main,Republican,scene
character,35544,8128,fast,away,garden,rule
present,11895,45907,fear,film,should,child
hit,6433,20991,choose,analysis,understand,standard
machine,69394,11971,me,task,personal,fear
every,79479,1794,behavior,live,decade,nature
after,17796,64766,local,particularly,win,budget
shake,87412,90918,least,identify,whom,responsibility
I,91020,36636,writer,purpose,recent,sound
history,4708,2465,home,garden,TV,us
south,73388,80861,society,help,one,open
cover,19323,39402,little,civil,report,mean
heart,50727,43071,product,through,without,second
fear,30363,21457,among,east,need,since
minute,10906,30217,or,stay,put,very
campaign,55120,67428,mother,specific,class,film
thousand,78683,61795,again,near,admit,trip
many,80939,70338,whose,care,start,rock
clearly,42635,65237,occur,military,appear,when
want,15778,12109,fund,occur,attack,left
director,8855,69312,hope,thank,live,first
pressure,57762,70749,green,yeah,deep,last
control,32663,93151,sit,concern,despite,company
audience,22492,34681,ability,recent,thought,pick
little,99775,12537,position,deal,capital,certain
medical,33195,80596,her,road,father,amount
two,34444,77018,none,religious,structure,lot
news,19129,5338,player,specific,dog,tell
trip,24645,62589,suggest,close,up,fly
determine,30864,9209,at,majority,him,phone
first,85341,15256,this,painting,benefit,both
hope,56123,72750,others,investment,goal,subject
many,17618,5245,professor,garden,white,record
myself,46545,95535,sea,learn,white,suffer
might,92862,32002,similar,message,somebody,lay
sing,80136,27723,research,interest,hope,institution
several,83876,69824,edge,develop,walk,responsibility
chance,93430,85789,month,camera,on,population
scientist,80080,493,western,kind,someone,action
next,12627,26123,beat,avoid,action,support
have,73534,87650,indicate,write,old,military
person,46854,13625,generation,attention,information,value
building,73307,93567,arrive,mind,financial,by
far,7322,91583,skill,operation,day,successful
throw,88435,10327,management,almost,sort,high
necessary,67117,1142,ten,leader,eat,look
walk,5729,33993,radio,from,court,personal
crime,82684,8258,onto,another,walk,ever
like,5953,41490,property,build,hair,present
yet,81701,47296,discuss,other,few,truth
tax,77564,33877,after,federal,art,country
television,46624,25468,green,simple,hair,approach
save,64079,97338,enough,home,heart,young
start,30671,80576,under,few,continue,goal
well,19104,56487,today,fly,performance,most
focus,43119,18329,believe,nation,for,act
government,7893,26815,take,third,stock,with
store,72002,98055,simple,less,mission,stay
law,10529,87640,fire,list,although,stock
enter,10720,10010,team,young,along,development
true,15187,45923,grow,level,or,on
ball,10397,43440,game,wall,raise,describe
a,77636,52032,policy,above,you,finish
view,65300,49990,serve,claim,college,or
land,87357,13723,local,girl,simple,reduce
should,63896,61624,budget,similar,seek,necessary
either,37883,69103,control,note,result,turn
throw,30418,70592,situation,read,radio,money
play,55278,88187,thought,both,scientist,writer
most,24928,12623,must,expect,because,finish
manage,28238,38092,thus,evidence,listen,someone
structure,86009,23426,say,she,up,scene
see,7296,14080,different,house,book,firm
upon,54281,98830,add,boy,also,message
ten,29015,79149,employee,worry,foot,cup
force,79673,31967,community,ahead,PM,on
itself,46562,50414,rather,ability,right,house
board,65009,73853,local,president,offer,have
discuss,75930,33522,Republican,probably,when,yeah
even,8249,67066,must,fear,leader,car
recent,89023,40858,author,check,indeed,stage
nearly,7607,69221,might,price,southern,evening
bed,7134,76431,rise,ever,forward,always
story,64370,57274,degree,own,chair,former
ask,59319,83787,find,leg,director,start
create,84813,7140,force,visit,say,when
three,36111,20727,as,authority,lose,though
while,69395,84454,young,million,radio,final
draw,57702,28786,control,far,never,recognize
task,68690,24828,data,ahead,close,all
court,79924,66001,skill,four,science,expert
cultural,99348,48631,call,own,green,manage
already,82594,33881,enjoy,senior,policy,color
floor,67957,89327,well,value,before,fine
change,55409,71696,wide,reality,else,long
term,98057,68330,join,role,pass,threat
four,46785,62540,sit,star,president,daughter
environmental,23664,92566,far,money,travel,assume
attack,51392,39248,practice,similar,travel,final
paper,1039,74014,material,others,nor,score
ask,16692,54983,around,remember,dream,nearly
behavior,76899,49160,control,course,chair,gas
until,58983,17371,like,early,environment,opportunity
next,58027,66674,home,conference,less,add
again,42947,28739,economic,fall,plant,sense
not,49498,84932,position,morning,strategy,prove
analysis,49707,74243,to,him,bit,level
finally,46280,5990,then,quality,million,establish
officer,46247,14732,anyone,indicate,use,officer
ten,12652,79960,several,firm,subject,administration
production,94204,32060,me,worker,consumer,really
hospital,31302,7427,model,others,inside,south
word,48494,1419,body,third,book,respond
kind,2968,51340,action,main,sense,able
bag,19568,56265,drive,agent,them,their
six,25734,2204,people,short,event,situation
far,89586,97978,write,heavy,toward,authority
also,57894,42599,establish,right,else,create
think,84140,51883,score,different,point,any
much,28478,44796,happen,mouth,value,agent
mean,83828,53213,at,often,require,never
provide,42300,19747,for,tell,force,apply
science,64517,29692,ability,sea,market,particularly
remember,23921,57218,official,couple,candidate,great
when,76207,91591,memory,my,own,pay
century,49990,97168,property,research,clearly,civil
detail,51098,58265,single,hospital,these,by
least,7840,57572,economy,offer,company,successful
green,15028,73797,artist,owner,woman,situation
receive,44576,67824,remain,during,third,choose
billion,37543,31103,say,anything,style,defense
table,22435,18744,wish,set,discuss,person
event,64657,30459,international,kitchen,produce,type
event,85900,29207,by,or,old,size
network,77656,2276,then,anything,respond,middle
week,22448,59563,seat,term,number,source
lose,37447,23665,reduce,his,feel,much
brother,53808,76616,upon,since,issue,open
church,34341,54518,administration,particular,school,present
